Country	4_1_1	4_1_2	4_1_3	4_2_1	4_2_2	4_3_1	4_3_2	4_3_3	4_1_1_outliers_adjusted	4_1_2_outliers_adjusted	4_1_3_outliers_adjusted	4_2_1_outliers_adjusted	4_2_2_outliers_adjusted	4_3_1_outliers_adjusted	4_3_2_outliers_adjusted	4_3_3_outliers_adjusted	4_1_1_normalised	4_1_2_normalised	4_1_3_normalised	4_2_1_normalised	4_2_2_normalised	4_3_1_normalised	4_3_2_normalised	4_3_3_normalised	SD	EC	Tot_inclusiveness	Ranking	
Australia	-36.3	-5.5	-53.5	-29.1	-28.9		-8.9	-22.2	36.3	5.5	53.5	29.1	28.9		8.9	22.2	0.20310182	0.08586763	0.567435389	0.329246162	0.269202759		0.241940187	0.467321468	0.296412751	0.326154805	0.690840655	5	Note that this calculation gives all groups (not indicators!) equal weight
Austria	-67.1	-12.3	-55.9	-36.1	-13.1	8.1	9.6	-18.3	67.1	12.3	55.9	36.1	13.1	8.1	9.6	18.3	0.678752304	0.215346652	0.639313398	0.467364198	0	0	0.261207064	0.385033446	0.500194138	0.161560127	0.669122867	7	
Belgium	-62.2	-13.8	-62.5	-40.6	-14.8	-33.6	-26.1	-17.7	62.2	13.8	62.5	40.6	14.8	33.6	26.1	17.7	0.602999281	0.243206351	0.835195683	0.555735621	0.029398856	0.318217448	0.741576804	0.371876959	0.559284234	0.365267517	0.537724124	17	Ranking: 1 - best position
Canada	-43.1	-6.4	-51.9	-41.1	-36.3	-47.0	-17.6	-19.7	43.1	6.4	51.9	41.1	36.3	47.0	17.6	19.7	0.30800262	0.102574513	0.522571112	0.566895344	0.393488996	0.485023876	0.494106061	0.413941856	0.375010897	0.446640197	0.589174453	12	Ranking: 29 - worst position
Switzerland																													
Chile	-48.6	-32.1	-47.0	-43.2	-24.1	-73.9	-5.1	-34.7	48.6	32.1	47.0	43.2	24.1	73.9	5.1	34.7	0.393363735	0.592521333	0.375491169	0.60695303	0.187589123	0.820584048	0.13257259	0.73486341	0.492082317	0.468902293	0.519507695	19	
Czechia	-53.5	-28.0	-43.8	-31.7	-49.1	-61.5	-11.4	-21.2	53.5	28.0	43.8	31.7	49.1	61.5	11.4	21.2	0.468231742	0.514370859	0.280968008	0.380587835	0.61136272	0.665678495	0.314685111	0.44595329	0.411039611	0.509419904	0.539770242	16	
Germany	-45.8	-16.6	-57.9	-41.5	-37.4	-54.2	-7.5	-25.3	45.8	16.6	57.9	41.5	37.4	54.2	7.5	25.3	0.350418225	0.29680116	0.697682781	0.573755555	0.412195226	0.575492759	0.19929625	0.53361839	0.47966443	0.430150656	0.545092457	14	
Denmark	-34.5	1.0	-44.7	-17.9	-21.2	-20.3	0.6	-16.5	34.5	1.0	44.7	17.9	21.2	20.3	0.6	16.5	0.174882632	0	0.310404251	0.108898862	0.13689357	0.152586333	0	0.347609917	0.148546436	0.159272455	0.846090554	1	
Spain	-58.4	-13.9	-54.2	-43.7	-42.4	-56.7	-15.3	-31.3	58.4	13.9	54.2	43.7	42.4	56.7	15.3	31.3	0.544855932	0.244495248	0.590696705	0.616826856	0.498277738	0.605713231	0.427751212	0.661782653	0.499218685	0.548381209	0.476200053	20	
Estonia	-39.4	12.1	-46.3	-36.7	-62.4	-76.8	-12.8	-18.1	39.4	12.1	46.3	36.7	62.4	76.8	12.8	18.1	0.250229703	0.210908288	0.357023052	0.479474711	0.83732528	0.856284519	0.353636227	0.380566117	0.324408938	0.606953036	0.534319013	18	
Finland	-44.2	1.1	-56.6	-39.8	-31.1	-47.9	-10.0	-12.3	44.2	1.1	56.6	39.8	31.1	47.9	10.0	12.3	0.32458147	0.000424941	0.660362929	0.539877418	0.30533559	0.496594959	0.271874325	0.257628249	0.381311689	0.332858281	0.642915015	10	
France	-66.2	-8.5	-60.5	-39.5	-39.3	-60.9	-21.0	-23.1	66.2	8.5	60.5	39.5	39.3	60.9	21.0	23.1	0.664891858	0.141375891	0.774226498	0.535580548	0.444719522	0.658363502	0.590942138	0.48701864	0.529018699	0.54526095	0.462860176	21	
United Kingdom	-41.9	-4.5	-52.1	-35.7	-40.2	-52.0	-1.7	-19.1	41.9	4.5	52.1	35.7	40.2	52.0	1.7	19.1	0.289090843	0.065786255	0.52845683	0.459626335	0.460015653	0.547978354	0.032589411	0.402333529	0.335740066	0.360729236	0.651765349	9	
Greece	-78.0	-15.2	-57.9	-46.1	-38.2	-53.1	14.9	-35.0	78.0	15.2	57.9	46.1	38.2	53.1	14.9	35.0	0.846709659	0.269350702	0.697833237	0.664847396	0.426131532	0.560677602	0.415145213	0.740191616	0.619685248	0.535536491	0.42238913	24	
Hungary																													
Ireland	-47.4	-12.3	-52.6	-40.0	-34.4	-50.0	-0.7	-26.6	47.4	12.3	52.6	40.0	34.4	50.0	0.7	26.6	0.374942478	0.21556029	0.543139009	0.544614992	0.361428243	0.522305482	0.00442937	0.561251404	0.419564192	0.362353625	0.609041091	11	
Israel	-28.4	-6.1	-57.3	-48.6	-46.2	-78.2	2.2	-28.9	28.4	6.1	57.3	48.6	46.2	78.2	2.2	28.9	0.081711109	0.095889361	0.682189902	0.713845551	0.563175665	0.873972479	0.047101062	0.611899739	0.393408981	0.524037236	0.541276892	15	
Italy	-58.5	-14.7	-62.2	-58.6	-59.1	-80.0	-35.1	-29.0	58.5	14.7	62.2	58.6	59.1	80.0	35.1	29.0	0.546208278	0.260127695	0.826859915	0.910742296	0.781542871	0.89718965	1	0.612649972	0.635984546	0.822845623	0.270584915	27	
Japan	-44.6	-32.6	-61.4	-57.1	-44.8	-23.8	-15.9	-27.4	44.6	32.6	61.4	57.1	44.8	23.8	15.9	27.4	0.33181449	0.601746556	0.800847285	0.882016082	0.539484609	0.196259414	0.44504102	0.579838099	0.654106103	0.440155785	0.452869056	22	
Republic of Korea																													
Lithuania	-43.2	18.5	-68.1	-63.1	-71.9	-88.3	-10.5	-19.4	43.2	18.5	68.1	63.1	71.9	88.3	10.5	19.4	0.309083181	0.333639487	1	1	1	1	0.287754292	0.409343736	0.660680667	0.674274507	0.332522413	25	
Luxembourg																													
Latvia																													
Netherlands	-45.1	-13.1	-55.1	-31.4	-42.1	-56.4	-17.9	-12.1	45.1	13.1	55.1	31.4	42.1	56.4	17.9	12.1	0.338693963	0.229722719	0.61589054	0.374538713	0.492970155	0.602161887	0.501562705	0.253650413	0.389711484	0.46258629	0.573851113	13	
Norway	-40.8	1.6	-34.2	-16.5	-42.2	-38.5	-7.4	-14.5	40.8	1.6	34.2	16.5	42.2	38.5	7.4	14.5	0.271960003	0.010602388	0	0.081828078	0.493700323	0.379149865	0.19900261	0.303566549	0.091097617	0.343854837	0.782523773	3	
New Zealand	-23.1	-6.0	-35.6	-24.9	-29.0	-46.5	-1.4	-14.5	23.1	6.0	35.6	24.9	29.0	46.5	1.4	14.5	0	0.094284673	0.040431028	0.247149614	0.269981966	0.4790847	0.024558437	0.30385015	0.095466329	0.269368813	0.817582429	2	
Poland	-66.1	-10.2	-56.2	-49.8	-48.7	-57.8	-14.9	-29.4	66.1	10.2	56.2	49.8	48.7	57.8	14.9	29.4	0.662828462	0.174600881	0.649955272	0.738112771	0.60487698	0.620296236	0.414205046	0.622646459	0.556374347	0.56550618	0.439059736	23	
Portugal																													
Slovakia																													
Slovenia	-67.7	-4.7	-46.1	-34.6	-27.7	-30.0	-15.4	-0.2	67.7	4.7	46.1	34.6	27.7	30.0	15.4	0.2	0.688233912	0.07064904	0.351744084	0.439311603	0.248784513	0.273341679	0.429749521	0	0.38748466	0.237968928	0.687273206	6	
Sweden	-29.3	-1.4	-51.1	-12.3	-44.1	-50.9	-3.9	-13.9	29.3	1.4	51.1	12.3	44.1	50.9	3.9	13.9	0.09499725	0.007565393	0.498602215	0	0.527673403	0.534317045	0.097462089	0.29125308	0.150291214	0.362676404	0.743516191	4	
Turkey	-87.9	-53.5	-58.3	-51.8	-37.9	-44.2	-14.5	-47.1	87.9	53.5	58.3	51.8	37.9	44.2	14.5	47.1	1	1	0.71160582	0.776201316	0.421707922	0.450434621	0.402465232	1	0.871951784	0.568651944	0.279698136	26	
United States of America	-24.3	-8.5	-47.4	-32.4	-35.0	-61.2	13.6	-16.0	24.3	8.5	47.4	32.4	35.0	61.2	13.6	16.0	0.0176953	0.142827802	0.388981758	0.395446999	0.372024715	0.662737304	0.376244702	0.336016271	0.236237965	0.436755748	0.663503144	8	
